Algorithm,Step,Candidate Added,Features,Selection Mean Accuracy,Selection Std
Linear Classifier,1,nHM,nHM,0.5480727874276261,0.05416963436172247
Linear Classifier,1,piPC09,piPC09,0.47765095119933837,0.1234003644464146
Linear Classifier,1,PCD,PCD,0.45046319272125723,0.10933739602080332
Linear Classifier,1,X2Av,X2Av,0.39421836228287843,0.17266593540520178
Linear Classifier,1,MLOGP,MLOGP,0.45962779156327543,0.08633409118832511
Linear Classifier,1,ON1V,ON1V,0.49551695616211744,0.1350057755071386
Linear Classifier,1,N-072,N-072,0.5430355665839537,0.10420634391820999
Linear Classifier,1,B02[C-N],B02[C-N],0.4750868486352357,0.15131884165091572
Linear Classifier,1,F04[C-O],F04[C-O],0.42852770885028946,0.14558088800568514
Linear Classifier,2,piPC09,"nHM, piPC09",0.43361455748552524,0.14173765039352554
Linear Classifier,2,PCD,"nHM, PCD",0.39665012406947897,0.082167702200256
Linear Classifier,2,X2Av,"nHM, X2Av",0.4837965260545906,0.07899383501323891
Linear Classifier,2,MLOGP,"nHM, MLOGP",0.429933829611249,0.07751052580316399
Linear Classifier,2,ON1V,"nHM, ON1V",0.5403225806451613,0.07376739461676807
Linear Classifier,2,N-072,"nHM, N-072",0.46226633581472293,0.08921205257301844
Linear Classifier,2,B02[C-N],"nHM, B02[C-N]",0.5480562448304384,0.044348856557111974
Linear Classifier,2,F04[C-O],"nHM, F04[C-O]",0.44277915632754344,0.07930512551354575
Logistic Regression,1,nHM,nHM,0.5904714640198512,0.023936266398824704
Logistic Regression,1,piPC09,piPC09,0.5840777502067824,0.02451173904653641
Logistic Regression,1,PCD,PCD,0.5904880066170388,0.016203408501107693
Logistic Regression,1,X2Av,X2Av,0.5904714640198512,0.023936266398824704
Logistic Regression,1,MLOGP,MLOGP,0.5738047973531846,0.016683469662149786
Logistic Regression,1,ON1V,ON1V,0.6405128205128205,0.03178453099003368
Logistic Regression,1,N-072,N-072,0.5904714640198512,0.023936266398824704
Logistic Regression,1,B02[C-N],B02[C-N],0.5904714640198512,0.023936266398824704
Logistic Regression,1,F04[C-O],F04[C-O],0.6058808933002482,0.020569530590227956
Logistic Regression,2,nHM,"ON1V, nHM",0.6289660876757651,0.021291174115336087
Logistic Regression,2,piPC09,"ON1V, piPC09",0.6353846153846154,0.022770039255685465
Logistic Regression,2,PCD,"ON1V, PCD",0.6328370554177005,0.016490094516786638
Logistic Regression,2,X2Av,"ON1V, X2Av",0.6392473118279569,0.025937676690611762
Logistic Regression,2,MLOGP,"ON1V, MLOGP",0.6469396195202647,0.021830823077159407
Logistic Regression,2,N-072,"ON1V, N-072",0.632812241521919,0.021385099807082947
Logistic Regression,2,B02[C-N],"ON1V, B02[C-N]",0.6597766749379652,0.021037745134834956
Logistic Regression,2,F04[C-O],"ON1V, F04[C-O]",0.6366666666666666,0.02176619531251714
Logistic Regression,3,nHM,"ON1V, B02[C-N], nHM",0.6546401985111663,0.024134359529489714
Logistic Regression,3,piPC09,"ON1V, B02[C-N], piPC09",0.6636311000827131,0.02041068585896258
Logistic Regression,3,PCD,"ON1V, B02[C-N], PCD",0.6623407775020679,0.022085786022089982
Logistic Regression,3,X2Av,"ON1V, B02[C-N], X2Av",0.6559305210918115,0.019146164292785005
Logistic Regression,3,MLOGP,"ON1V, B02[C-N], MLOGP",0.6546484698097601,0.018143458760401618
Logistic Regression,3,N-072,"ON1V, B02[C-N], N-072",0.6584946236559139,0.020372975775796887
Logistic Regression,3,F04[C-O],"ON1V, B02[C-N], F04[C-O]",0.6533664185277089,0.015466014637927095
Logistic Regression,4,nHM,"ON1V, B02[C-N], piPC09, nHM",0.6597684036393714,0.026067550966674777
Logistic Regression,4,PCD,"ON1V, B02[C-N], piPC09, PCD",0.6636311000827131,0.016391067785547553
Logistic Regression,4,X2Av,"ON1V, B02[C-N], piPC09, X2Av",0.6572125723738628,0.021212931720459984
Logistic Regression,4,MLOGP,"ON1V, B02[C-N], piPC09, MLOGP",0.6597849462365593,0.019241476247722395
Logistic Regression,4,N-072,"ON1V, B02[C-N], piPC09, N-072",0.6610669975186105,0.022933532356266568
Logistic Regression,4,F04[C-O],"ON1V, B02[C-N], piPC09, F04[C-O]",0.6533664185277089,0.018379797011097126
KNN,1,nHM,nHM,0.5583126550868486,0.045379400111848975
KNN,1,piPC09,piPC09,0.5020264681555003,0.09614414245262845
KNN,1,PCD,PCD,0.5853680727874275,0.010272786360731251
KNN,1,X2Av,X2Av,0.5314474772539288,0.025347267346971895
KNN,1,MLOGP,MLOGP,0.62,0.03963674637731201
KNN,1,ON1V,ON1V,0.6315550041356492,0.014987606746305896
KNN,1,N-072,N-072,0.505616211745244,0.12087514967807562
KNN,1,B02[C-N],B02[C-N],0.5904714640198512,0.023936266398824704
KNN,1,F04[C-O],F04[C-O],0.51479735318445,0.09590367733581218
KNN,2,nHM,"ON1V, nHM",0.6148800661703888,0.015938481194244295
KNN,2,piPC09,"ON1V, piPC09",0.6379983457402811,0.025803235680088563
KNN,2,PCD,"ON1V, PCD",0.5969065343258892,0.02626286964206875
KNN,2,X2Av,"ON1V, X2Av",0.6021009098428454,0.021021133953841076
KNN,2,MLOGP,"ON1V, MLOGP",0.643143093465674,0.02296666325751528
KNN,2,N-072,"ON1V, N-072",0.6174358974358974,0.014964345088630635
KNN,2,B02[C-N],"ON1V, B02[C-N]",0.6354177005789909,0.022899977097453127
KNN,2,F04[C-O],"ON1V, F04[C-O]",0.645682382133995,0.01289467596528798
KNN,3,nHM,"ON1V, F04[C-O], nHM",0.6418444995864351,0.022762989422140598
KNN,3,piPC09,"ON1V, F04[C-O], piPC09",0.6303556658395368,0.029844548597082684
KNN,3,PCD,"ON1V, F04[C-O], PCD",0.6007444168734491,0.041867275836951046
KNN,3,X2Av,"ON1V, F04[C-O], X2Av",0.6226550868486352,0.03800516705887294
KNN,3,MLOGP,"ON1V, F04[C-O], MLOGP",0.6431182795698925,0.03763403230162994
KNN,3,N-072,"ON1V, F04[C-O], N-072",0.6264764267990074,0.04290283113596425
KNN,3,B02[C-N],"ON1V, F04[C-O], B02[C-N]",0.6379983457402812,0.036376766864111613
Gaussian NB,1,nHM,nHM,0.5981885856079405,0.021546953509726675
Gaussian NB,1,piPC09,piPC09,0.5840777502067824,0.028825979942732286
Gaussian NB,1,PCD,PCD,0.6007692307692307,0.017849542855340645
Gaussian NB,1,X2Av,X2Av,0.5468817204301075,0.09308068525467521
Gaussian NB,1,MLOGP,MLOGP,0.5917535153019025,0.025687271191527992
Gaussian NB,1,ON1V,ON1V,0.6340860215053763,0.03059741511101822
Gaussian NB,1,N-072,N-072,0.5866253101736972,0.02425707762589465
Gaussian NB,1,B02[C-N],B02[C-N],0.5904714640198512,0.023936266398824704
Gaussian NB,1,F04[C-O],F04[C-O],0.6071629445822995,0.011906056684008827
Gaussian NB,2,nHM,"ON1V, nHM",0.6340942928039702,0.02881188586860622
Gaussian NB,2,piPC09,"ON1V, piPC09",0.6238461538461538,0.016228966562509415
Gaussian NB,2,PCD,"ON1V, PCD",0.6341025641025642,0.01904353295141247
Gaussian NB,2,X2Av,"ON1V, X2Av",0.6379735318444995,0.021317407191237082
Gaussian NB,2,MLOGP,"ON1V, MLOGP",0.6456492969396195,0.02284230189201102
Gaussian NB,2,N-072,"ON1V, N-072",0.6315136476426799,0.034366971937210666
Gaussian NB,2,B02[C-N],"ON1V, B02[C-N]",0.6430769230769231,0.026030377237354848
Gaussian NB,2,F04[C-O],"ON1V, F04[C-O]",0.6264102564102564,0.022199857253244495
Gaussian NB,3,nHM,"ON1V, MLOGP, nHM",0.6546732837055418,0.01137792210234281
Gaussian NB,3,piPC09,"ON1V, MLOGP, piPC09",0.6405045492142266,0.029210306168415717
Gaussian NB,3,PCD,"ON1V, MLOGP, PCD",0.6494954507857733,0.02335328176949069
Gaussian NB,3,X2Av,"ON1V, MLOGP, X2Av",0.6161621174524401,0.04113251508000153
Gaussian NB,3,N-072,"ON1V, MLOGP, N-072",0.6405210918114144,0.026594358965915988
Gaussian NB,3,B02[C-N],"ON1V, MLOGP, B02[C-N]",0.6597601323407775,0.026513866648628658
Gaussian NB,3,F04[C-O],"ON1V, MLOGP, F04[C-O]",0.6302564102564102,0.016430276249846987
Gaussian NB,4,nHM,"ON1V, MLOGP, B02[C-N], nHM",0.6713482216708023,0.015397448332926533
Gaussian NB,4,piPC09,"ON1V, MLOGP, B02[C-N], piPC09",0.6225558312655087,0.032979676650723794
Gaussian NB,4,PCD,"ON1V, MLOGP, B02[C-N], PCD",0.6687344913151365,0.02921039282715547
Gaussian NB,4,X2Av,"ON1V, MLOGP, B02[C-N], X2Av",0.6225806451612903,0.04930890795701145
Gaussian NB,4,N-072,"ON1V, MLOGP, B02[C-N], N-072",0.6572043010752688,0.03186859969099388
Gaussian NB,4,F04[C-O],"ON1V, MLOGP, B02[C-N], F04[C-O]",0.6405293631100083,0.014395743137359552
Gaussian NB,5,piPC09,"ON1V, MLOGP, B02[C-N], nHM, piPC09",0.6456906534325889,0.04048953496195752
Gaussian NB,5,PCD,"ON1V, MLOGP, B02[C-N], nHM, PCD",0.6636559139784947,0.024055453407375634
Gaussian NB,5,X2Av,"ON1V, MLOGP, B02[C-N], nHM, X2Av",0.6277253928866833,0.05903787108542149
Gaussian NB,5,N-072,"ON1V, MLOGP, B02[C-N], nHM, N-072",0.6585277088502896,0.024901930957970903
Gaussian NB,5,F04[C-O],"ON1V, MLOGP, B02[C-N], nHM, F04[C-O]",0.6495450785773367,0.016613475123651144
Neural Network,1,nHM,nHM,0.5904714640198512,0.023936266398824704
Neural Network,1,piPC09,piPC09,0.5686517783291977,0.04417891754747888
Neural Network,1,PCD,PCD,0.5904714640198512,0.023936266398824704
Neural Network,1,X2Av,X2Av,0.5020099255583126,0.1851262875162539
Neural Network,1,MLOGP,MLOGP,0.5827791563275435,0.026255225503734266
Neural Network,1,ON1V,ON1V,0.5711993382961126,0.029765076778083332
Neural Network,1,N-072,N-072,0.1553763440860215,0.022033969439870037
Neural Network,1,B02[C-N],B02[C-N],0.3376344086021506,0.029094932103074445
Neural Network,1,F04[C-O],F04[C-O],0.5904714640198512,0.023936266398824704
Neural Network,2,piPC09,"nHM, piPC09",0.3581389578163772,0.02946527967517126
Neural Network,2,PCD,"nHM, PCD",0.4251033912324235,0.13064059877387052
Neural Network,2,X2Av,"nHM, X2Av",0.38663358147229115,0.09671364000908
Neural Network,2,MLOGP,"nHM, MLOGP",0.390206782464847,0.05358882632181627
Neural Network,2,ON1V,"nHM, ON1V",0.442812241521919,0.09996001543125518
Neural Network,2,N-072,"nHM, N-072",0.3234491315136476,0.039111174534300096
Neural Network,2,B02[C-N],"nHM, B02[C-N]",0.27215880893300254,0.03673170371544024
Neural Network,2,F04[C-O],"nHM, F04[C-O]",0.40679073614557487,0.0948606506795857
